Timestamp,Model,Max Depth,random_state,Accuracy,Cross-Validation Score
2025-10-06 20:12:43,Decision Tree,4,10,0.8261,0.8348
2025-10-07 12:57:43,Decision Tree,4,10,0.8478,0.8333
2025-10-07 12:59:07,Decision Tree,4,10,0.8478,0.8333
2025-10-07 12:59:57,Decision Tree,4,10,0.8478,0.8333
2025-10-07 13:00:34,Decision Tree,4,16,0.8116,0.8333
2025-10-07 13:01:58,Decision Tree,4,15,0.7971,0.8333
2025-10-07 13:02:59,Decision Tree,4,14,0.8188,0.8348
2025-10-07 13:03:34,Decision Tree,4,8,0.8551,0.8333
2025-10-07 13:05:55,Decision Tree,4,5,0.8696,0.8333
2025-10-07 13:07:52,Decision Tree,4,2,0.8768,0.8348
2025-10-07 13:10:20,Decision Tree,3,2,0.8696,0.8043
2025-10-07 13:11:32,Decision Tree,5,2,0.8623,0.8217
2025-10-07 13:13:05,Decision Tree,4,1,0.8333,0.8333
2025-10-07 13:13:47,Decision Tree,4,3,0.7681,0.8333
2025-10-07 13:15:14,Decision Tree,4,2,0.8768,0.8348
2025-10-07 13:22:03,Decision Tree,4,2,0.8768,0.8348
2025-10-07 13:29:02,Random Forest,6,10,0.8768,0.8406
2025-10-07 13:30:49,Random Forest,4,2,0.8913,0.8464
2025-10-07 13:31:46,Random Forest,3,2,0.8623,0.8435
2025-10-07 13:32:29,Random Forest,5,2,0.8913,0.8464
2025-10-07 13:47:05,Random Forest,5,2,0.8841,0.8464
2025-10-07 13:47:31,Random Forest,5,2,0.8841,0.8464
2025-10-07 13:48:15,Random Forest,5,2,0.8841,0.8420
2025-10-07 13:48:34,Random Forest,5,2,0.8913,0.8464
2025-10-07 13:50:24,Random Forest,4,2,0.8913,0.8464
